Icegreenhemp Jr the Grandmaster Armsman earned 0 gold on their investments!#June 9, 2023 at 02:02
Red Blade the Apprentice Beastmaster studied Musicianship assiduously and raised the skill 11.3 points! #February 1, 2023 at 22:54
In an unmitigated act of pure bloodlust, Slippery Pete the Neophyte Spy butchered an adventurer corpse#February 1, 2023 at 22:34
Slothly King the Master Brawler is now a GrandMaster in  Focus#February 1, 2023 at 22:14
Sygnetix the Apprentice Shepherd sold a ridable llama for 16 gold to the animal broker.#February 1, 2023 at 21:48
Hemisphere the Grandmaster Biologist studied AnimalTaming assiduously and raised the skill 13.6 points! #February 1, 2023 at 21:24
Shin Lin the Grandmaster Skulker studied Poisoning assiduously and raised the skill 1.0 points! #February 1, 2023 at 21:14
Oogle the Grandmaster Tailor studied Magery assiduously and raised the skill 0.1 points! #February 1, 2023 at 21:14
Icegreenhemp Jr the Grandmaster Armsman earned 18 gold on their investments!#February 1, 2023 at 20:33
Buddy the Grandmaster Blacksmith earned 1739 gold on their investments!#February 1, 2023 at 20:33
Bruh the Grandmaster Skulker lost -59 gold on their investments!#February 1, 2023 at 20:33
ArSmith the Grandmaster Blacksmith earned 30 gold on their investments!#February 1, 2023 at 20:33
Borgio the Grandmaster Jedi earned 48 gold on their investments!#February 1, 2023 at 20:33
Uncle Bigs the Grandmaster Carpenter earned 30 gold on their investments!#February 1, 2023 at 20:33
Kinral Barthig the Elder Miner earned 421 gold on their investments!#February 1, 2023 at 20:33
Peter Grimm the Grandmaster Archmage lost -361 gold on their investments!#February 1, 2023 at 20:33
Syn Morion the Elder Archmage lost -5782 gold on their investments!#February 1, 2023 at 20:33
Syn Morion the Elder Archmage lost -7167 gold on their investments!#February 1, 2023 at 20:33
Veryance the Elder Beastmaster earned 108337 gold on their investments!#February 1, 2023 at 20:33
Xena Mistress of Truculence earned 610 gold on their investments!#February 1, 2023 at 20:33
Xena Mistress of Truculence lost -596 gold on their investments!#February 1, 2023 at 20:33
Orion Fireforge the Adept Carpenter earned 2890 gold on their investments!#February 1, 2023 at 20:33
Lankylad the Grandmaster Beastmaster earned 15794 gold on their investments!#February 1, 2023 at 20:33
Razorspine the Grandmaster Swordsman earned 5635 gold on their investments!#February 1, 2023 at 20:33
Garthavan the Grandmaster Scholar earned 15 gold on their investments!#February 1, 2023 at 20:33
In an unmitigated act of pure bloodlust, Slothly King the Master Brawler butchered corpse of an executioner#February 1, 2023 at 20:12
Sweet Velvet the Grandmaster Pacifier is now a GrandMaster in  Meditation#February 1, 2023 at 19:30
Oogle the Grandmaster Tailor studied Magery assiduously and raised the skill 0.0 points! #February 1, 2023 at 19:19
Lental the Grandmaster Naturalist sold a drake for 560 gold to the animal broker.#February 1, 2023 at 19:12
Tears of Winter the Journeyman Scribe studied Inscribe assiduously and raised the skill 0.3 points! #February 1, 2023 at 17:55
Shin Lin the Grandmaster Skulker studied Poisoning assiduously and raised the skill 2.7 points! #February 1, 2023 at 17:54
Oogle the Grandmaster Tailor studied Magery assiduously and raised the skill 0.5 points! #February 1, 2023 at 17:52
Sygnetix the Apprentice Shepherd studied Herding assiduously and raised the skill 14.5 points! #February 1, 2023 at 17:41
Alberto the Grandmaster Naturalist is now a GrandMaster in  Lumberjacking#February 1, 2023 at 16:54
Xopoa the Master Biologist studied MagicResist assiduously and raised the skill 1.3 points! #February 1, 2023 at 15:39
Hemisphere the Grandmaster Biologist is now a GrandMaster in  Cooking#February 1, 2023 at 15:36
Bian the Savage is now a GrandMaster in  Evaluating Intelligence#February 1, 2023 at 15:14
Xopoa the Master Biologist studied MagicResist assiduously and raised the skill 0.7 points! #February 1, 2023 at 13:32
Bian the Savage is now a GrandMaster in  Begging#February 1, 2023 at 11:40
Tears of Winter the Journeyman Scribe studied Inscribe assiduously and raised the skill 0.4 points! #February 1, 2023 at 11:24
Shin Lin the Grandmaster Skulker studied Poisoning assiduously and raised the skill 3.6 points! #February 1, 2023 at 11:16
Oogle the Grandmaster Tailor studied AnimalTaming assiduously and raised the skill 1.8 points! #February 1, 2023 at 11:12
Bian the Savage is now a GrandMaster in  Meditation#February 1, 2023 at 10:55
Sweet Velvet the Grandmaster Pacifier is now a GrandMaster in  Focus#February 1, 2023 at 07:30
Judas NoPants the Grandmaster Archer studied Tinkering assiduously and raised the skill 1.3 points! #February 1, 2023 at 07:20
Sweet Velvet the Grandmaster Pacifier is now a GrandMaster in  Meditation#February 1, 2023 at 05:10
Bian the Savage is now a GrandMaster in  Focus#February 1, 2023 at 04:49
Tears of Winter the Journeyman Scribe studied Inscribe assiduously and raised the skill 0.9 points! #February 1, 2023 at 04:25
Shin Lin the Grandmaster Skulker studied Poisoning assiduously and raised the skill 1.7 points! #February 1, 2023 at 04:24
Oogle the Grandmaster Tailor studied AnimalTaming assiduously and raised the skill 1.1 points! #February 1, 2023 at 04:23
Sweet Velvet the Grandmaster Pacifier is now a GrandMaster in  Focus#February 1, 2023 at 04:01
Xopoa the Grandmaster Biologist studied MagicResist assiduously and raised the skill 3.3 points! #February 1, 2023 at 03:18
Sweet Velvet the Grandmaster Pacifier sold b for 919 gold to the animal broker.#February 1, 2023 at 03:00
Sweet Velvet the Grandmaster Pacifier sold e for 966 gold to the animal broker.#February 1, 2023 at 03:00
Sweet Velvet the Grandmaster Pacifier sold a zebra for 18 gold to the animal broker.#February 1, 2023 at 03:00
RosieChesterKdee the Apprentice Scribe studied Inscribe assiduously and raised the skill 14.8 points! #February 1, 2023 at 02:46
Tigger Nugget the Apprentice Infiltrator studied Camping assiduously and raised the skill 18.9 points! #February 1, 2023 at 01:51
Red Blade the Apprentice Beastmaster studied Musicianship assiduously and raised the skill 0.3 points! #February 1, 2023 at 01:41
Bian the Savage is now a GrandMaster in  Anatomy#February 1, 2023 at 01:14
Szasstam the Expert Driven studied Necromancy assiduously and raised the skill 0.8 points! #February 1, 2023 at 00:38
Bian the Savage is now a GrandMaster in  Tactics#February 1, 2023 at 00:28
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered corpse of a corrupted monk#February 1, 2023 at 00:08
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered the remains of Neville the thief#January 31, 2023 at 23:52
Yagyu the Grandmaster Archer studied AnimalLore assiduously and raised the skill 0.4 points! #January 31, 2023 at 23:43
Carmella Bing the Apprentice Fencer studied Wrestling assiduously and raised the skill 10.1 points! #January 31, 2023 at 21:42
Sweet Velvet the Grandmaster Pacifier sold Destruction for 1258 gold to the animal broker.#January 31, 2023 at 21:33
Szasstam the Expert Driven studied Necromancy assiduously and raised the skill 2.0 points! #January 31, 2023 at 21:29
Shin Lin the Grandmaster Skulker studied Poisoning assiduously and raised the skill 5.7 points! #January 31, 2023 at 21:25
Tears of Winter the Journeyman Scribe studied Inscribe assiduously and raised the skill 0.7 points! #January 31, 2023 at 21:23
Oogle the Grandmaster Tailor studied AnimalTaming assiduously and raised the skill 1.8 points! #January 31, 2023 at 21:22
Buddy the Grandmaster Blacksmith earned 524 gold on their investments!#January 31, 2023 at 20:32
Bruh the Grandmaster Skulker lost -18 gold on their investments!#January 31, 2023 at 20:32
ArSmith the Grandmaster Blacksmith earned 9 gold on their investments!#January 31, 2023 at 20:32
Borgio the Grandmaster Jedi earned 14 gold on their investments!#January 31, 2023 at 20:32
Uncle Bigs the Grandmaster Carpenter earned 9 gold on their investments!#January 31, 2023 at 20:32
Kinral Barthig the Elder Miner earned 127 gold on their investments!#January 31, 2023 at 20:32
Peter Grimm the Grandmaster Archmage lost -109 gold on their investments!#January 31, 2023 at 20:32
Syn Morion the Elder Archmage lost -1748 gold on their investments!#January 31, 2023 at 20:32
Syn Morion the Elder Archmage lost -2166 gold on their investments!#January 31, 2023 at 20:32
Veryance the Elder Beastmaster earned 32632 gold on their investments!#January 31, 2023 at 20:32
Xena Mistress of Truculence earned 183 gold on their investments!#January 31, 2023 at 20:32
Xena Mistress of Truculence lost -180 gold on their investments!#January 31, 2023 at 20:32
Orion Fireforge the Adept Carpenter earned 870 gold on their investments!#January 31, 2023 at 20:32
Lankylad the Grandmaster Beastmaster earned 4757 gold on their investments!#January 31, 2023 at 20:32
Razorspine the Grandmaster Swordsman earned 1697 gold on their investments!#January 31, 2023 at 20:32
Garthavan the Grandmaster Scholar earned 4 gold on their investments!#January 31, 2023 at 20:32
Sweet Velvet the Grandmaster Pacifier studied MagicResist assiduously and raised the skill 6.1 points! #January 31, 2023 at 19:22
Xopoa the Grandmaster Biologist studied Blacksmith assiduously and raised the skill 0.5 points! #January 31, 2023 at 17:10
Oogle the Grandmaster Tailor studied AnimalTaming assiduously and raised the skill 1.6 points! #January 31, 2023 at 16:47
Lental the Grandmaster Driven is now a GrandMaster in  Meditation#January 31, 2023 at 16:17
Xopoa the Grandmaster Biologist studied Blacksmith assiduously and raised the skill 0.3 points! #January 31, 2023 at 13:23
Xopoa the Grandmaster Biologist studied Blacksmith assiduously and raised the skill 0.2 points! #January 31, 2023 at 12:12
Bian the Savage is now a GrandMaster in  Wrestling#January 31, 2023 at 11:54
Shin Lin the Grandmaster Skulker studied Poisoning assiduously and raised the skill 9.1 points! #January 31, 2023 at 11:41
Tears of Winter the Journeyman Scribe studied Inscribe assiduously and raised the skill 1.3 points! #January 31, 2023 at 11:32
Oogle the Grandmaster Tailor studied AnimalTaming assiduously and raised the skill 3.1 points! #January 31, 2023 at 11:31
Xopoa the Grandmaster Biologist studied Blacksmith assiduously and raised the skill 0.6 points! #January 31, 2023 at 09:05
Xopoa the Grandmaster Biologist studied Blacksmith assiduously and raised the skill 0.3 points! #January 31, 2023 at 07:18
Murk the Grandmaster Naturalist studied Magery assiduously and raised the skill 4.2 points! #January 31, 2023 at 05:29
Xopoa the Grandmaster Biologist studied Blacksmith assiduously and raised the skill 1.2 points! #January 31, 2023 at 05:20
Shin Lin the Grandmaster Skulker studied Poisoning assiduously and raised the skill 8.0 points! #January 31, 2023 at 03:37
Tears of Winter the Journeyman Scribe studied Inscribe assiduously and raised the skill 0.5 points! #January 31, 2023 at 03:35
Red Blade the Apprentice Beastmaster studied Musicianship assiduously and raised the skill 0.9 points! #January 31, 2023 at 01:22
Oogle the Grandmaster Tailor studied AnimalLore assiduously and raised the skill 1.5 points! #January 31, 2023 at 00:54
Judas NoPants the Grandmaster Archer studied Tinkering assiduously and raised the skill 1.3 points! #January 31, 2023 at 00:14
Szasstam the Expert Driven studied Necromancy assiduously and raised the skill 3.7 points! #January 30, 2023 at 22:57
Red Blade the Journeyman Skulker studied Musicianship assiduously and raised the skill 0.9 points! #January 30, 2023 at 22:22
Buddy the Grandmaster Blacksmith earned 208 gold on their investments!#January 30, 2023 at 21:13
Bruh the Grandmaster Skulker lost -7 gold on their investments!#January 30, 2023 at 21:13
ArSmith the Grandmaster Blacksmith earned 3 gold on their investments!#January 30, 2023 at 21:13
Borgio the Grandmaster Jedi earned 5 gold on their investments!#January 30, 2023 at 21:13
Uncle Bigs the Grandmaster Carpenter earned 3 gold on their investments!#January 30, 2023 at 21:13
Kinral Barthig the Elder Miner earned 50 gold on their investments!#January 30, 2023 at 21:13
Peter Grimm the Grandmaster Archmage lost -43 gold on their investments!#January 30, 2023 at 21:13
Syn Morion the Elder Archmage lost -695 gold on their investments!#January 30, 2023 at 21:13
Syn Morion the Elder Archmage lost -862 gold on their investments!#January 30, 2023 at 21:13
Veryance the Elder Beastmaster earned 12967 gold on their investments!#January 30, 2023 at 21:13
Xena Mistress of Truculence earned 73 gold on their investments!#January 30, 2023 at 21:13
Xena Mistress of Truculence lost -71 gold on their investments!#January 30, 2023 at 21:13
Orion Fireforge the Adept Carpenter earned 345 gold on their investments!#January 30, 2023 at 21:13
Lankylad the Grandmaster Beastmaster earned 1890 gold on their investments!#January 30, 2023 at 21:13
Razorspine the Grandmaster Swordsman earned 674 gold on their investments!#January 30, 2023 at 21:13
Garthavan the Grandmaster Scholar earned 1 gold on their investments!#January 30, 2023 at 21:13
Shin Lin the Grandmaster Skulker spent 1000 gold on Lottery tickets!#January 30, 2023 at 21:12
Shin Lin the Grandmaster Skulker studied Poisoning assiduously and raised the skill 1.6 points! #January 30, 2023 at 20:39
Red Blade the Journeyman Skulker died and rose again as a deadly infected Zombie!! #January 30, 2023 at 19:52
Red Blade the Journeyman Skulker studied Musicianship assiduously and raised the skill 0.3 points! #January 30, 2023 at 19:50
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered the remains of Bryson the thief#January 30, 2023 at 19:22
Oogle the Grandmaster Tailor studied AnimalLore assiduously and raised the skill 1.4 points! #January 30, 2023 at 19:18
Lental the Grandmaster Driven studied Fishing assiduously and raised the skill 0.8 points! #January 30, 2023 at 19:17
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered corpse of a berserker#January 30, 2023 at 19:15
Shin Lin the Grandmaster Skulker studied Poisoning assiduously and raised the skill 0.5 points! #January 30, 2023 at 16:22
Tears of Winter the Journeyman Scribe studied Inscribe assiduously and raised the skill 2.7 points! #January 30, 2023 at 16:19
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered corpse of a berserker#January 30, 2023 at 16:04
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered corpse of a berserker#January 30, 2023 at 15:52
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered corpse of a corrupted monk#January 30, 2023 at 15:39
Oogle the Grandmaster Tailor studied Musicianship assiduously and raised the skill 3.3 points! #January 30, 2023 at 15:36
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered the remains of Reed the thief#January 30, 2023 at 15:27
Yagyu the Grandmaster Archer studied AnimalLore assiduously and raised the skill 0.1 points! #January 30, 2023 at 14:55
Xopoa the Master Biologist is now a GrandMaster in  Anatomy#January 30, 2023 at 14:35
Xopoa the Master Biologist studied Blacksmith assiduously and raised the skill 0.4 points! #January 30, 2023 at 14:17
Judas NoPants the Grandmaster Archer studied Tinkering assiduously and raised the skill 0.0 points! #January 30, 2023 at 14:07
Aleka of the Haunted Heath is now a GrandMaster in  Spirit Speak#January 30, 2023 at 11:49
Judas NoPants the Grandmaster Archer studied Tinkering assiduously and raised the skill 0.2 points! #January 30, 2023 at 11:22
Xopoa the Master Biologist is now a GrandMaster in  Anatomy#January 30, 2023 at 09:45
Shin Lin the Grandmaster Skulker studied Poisoning assiduously and raised the skill 6.0 points! #January 30, 2023 at 09:02
Sweet Velvet the Grandmaster Pacifier is now a GrandMaster in  Focus#January 30, 2023 at 07:01
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered corpse of a berserker#January 30, 2023 at 06:49
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered corpse of a berserker#January 30, 2023 at 06:39
Judas NoPants the Grandmaster Archer studied Tinkering assiduously and raised the skill 2.2 points! #January 30, 2023 at 06:12
Lental the Grandmaster Driven died and rose again as a deadly infected Zombie!! #January 30, 2023 at 04:18
Lental the Grandmaster Driven died and rose again as a deadly infected Zombie!! #January 30, 2023 at 04:12
Xopoa the Master Biologist studied Blacksmith assiduously and raised the skill 9.6 points! #January 30, 2023 at 04:10
Lental the Grandmaster Driven sold a mammoth for 115 gold to the animal broker.#January 30, 2023 at 04:02
Lental the Grandmaster Driven sold a mammoth for 560 gold to the animal broker.#January 30, 2023 at 03:32
Lental the Grandmaster Driven sold a mammoth for 368 gold to the animal broker.#January 30, 2023 at 03:32
Shin Lin the Grandmaster Skulker died and rose again as a deadly infected Zombie!! #January 30, 2023 at 02:28
Shanghai Dirtnap the Apprentice Fencer studied Tailoring assiduously and raised the skill 0.8 points! #January 30, 2023 at 02:00
Shin Lin the Master Skulker studied Poisoning assiduously and raised the skill 2.4 points! #January 30, 2023 at 01:28
Oogle the Grandmaster Tailor studied Musicianship assiduously and raised the skill 0.2 points! #January 30, 2023 at 00:08
Asarco the Grandmaster Archer is now a GrandMaster in  Hiding#January 30, 2023 at 00:04
Bart Blacky the Grandmaster Blacksmith studied ItemID assiduously and raised the skill 0.1 points! #January 29, 2023 at 23:58
Red Blade the Journeyman Skulker studied Hiding assiduously and raised the skill 2.1 points! #January 29, 2023 at 23:14
Lental the Grandmaster Driven sold a mammoth for 354 gold to the animal broker.#January 29, 2023 at 23:09
Lental the Grandmaster Driven sold a mammoth for 475 gold to the animal broker.#January 29, 2023 at 23:08
Olive sucks the Apprentice Beastmaster studied Musicianship assiduously and raised the skill 19.7 points! #January 29, 2023 at 23:04
Shin Lin the Master Skulker studied Fencing assiduously and raised the skill 0.2 points! #January 29, 2023 at 22:57
Tears of Winter the Journeyman Scribe studied Inscribe assiduously and raised the skill 5.1 points! #January 29, 2023 at 22:08
Shin Lin the Master Skulker studied Fencing assiduously and raised the skill 8.3 points! #January 29, 2023 at 22:05
Buddy the Grandmaster Blacksmith lost -2230 gold on their investments!#January 29, 2023 at 21:12
Bruh the Grandmaster Skulker earned 75 gold on their investments!#January 29, 2023 at 21:12
ArSmith the Grandmaster Blacksmith lost -39 gold on their investments!#January 29, 2023 at 21:12
Borgio the Grandmaster Jedi lost -62 gold on their investments!#January 29, 2023 at 21:12
Uncle Bigs the Grandmaster Carpenter lost -39 gold on their investments!#January 29, 2023 at 21:12
Kinral Barthig the Elder Miner lost -540 gold on their investments!#January 29, 2023 at 21:12
Peter Grimm the Grandmaster Archmage earned 458 gold on their investments!#January 29, 2023 at 21:12
Syn Morion the Elder Archmage earned 7336 gold on their investments!#January 29, 2023 at 21:12
Syn Morion the Elder Archmage earned 9094 gold on their investments!#January 29, 2023 at 21:12
Veryance the Elder Beastmaster lost -138881 gold on their investments!#January 29, 2023 at 21:12
Xena Mistress of Truculence lost -782 gold on their investments!#January 29, 2023 at 21:12
Xena Mistress of Truculence earned 756 gold on their investments!#January 29, 2023 at 21:12
Orion Fireforge the Adept Carpenter lost -3705 gold on their investments!#January 29, 2023 at 21:12
Lankylad the Grandmaster Beastmaster lost -20247 gold on their investments!#January 29, 2023 at 21:12
Razorspine the Grandmaster Swordsman lost -7224 gold on their investments!#January 29, 2023 at 21:12
Garthavan the Grandmaster Scholar lost -20 gold on their investments!#January 29, 2023 at 21:12
Oogle the Grandmaster Tailor studied Musicianship assiduously and raised the skill 0.3 points! #January 29, 2023 at 20:52
Bart Blacky the Grandmaster Blacksmith studied ItemID assiduously and raised the skill 0.4 points! #January 29, 2023 at 20:17
Lental the Grandmaster Driven sold a greater mammoth for 429 gold to the animal broker.#January 29, 2023 at 20:12
Judas NoPants the Grandmaster Archer studied Tinkering assiduously and raised the skill 0.6 points! #January 29, 2023 at 19:54
Lental the Grandmaster Driven sold a greater mammoth for 465 gold to the animal broker.#January 29, 2023 at 19:45
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered corpse of a berserker#January 29, 2023 at 19:39
In an unmitigated act of pure bloodlust, Deby Case the Elder Archer butchered the remains of Naoya the assassin#January 29, 2023 at 19:17
Bart Blacky the Grandmaster Blacksmith studied ItemID assiduously and raised the skill 1.9 points! #January 29, 2023 at 19:07
Aleka of the Haunted Heath is now a GrandMaster in  Forensic Evaluation#January 29, 2023 at 19:01
Sweet Velvet the Grandmaster Shepherd is now a GrandMaster in  Peacemaking#January 29, 2023 at 18:43
Sweet Velvet the Grandmaster Shepherd studied Provocation assiduously and raised the skill 10.2 points! #January 29, 2023 at 18:37
Sphinxy the Master Skulker studied Healing assiduously and raised the skill 8.8 points! #January 29, 2023 at 18:34
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered corpse of a corrupted monk#January 29, 2023 at 18:25
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered corpse of a berserker#January 29, 2023 at 18:24
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered corpse of an evil mage#January 29, 2023 at 18:18
In an unmitigated act of pure bloodlust, Xopoa the Master Biologist butchered a tribesman corpse#January 29, 2023 at 18:07
In an unmitigated act of pure bloodlust, Xopoa the Master Biologist butchered the remains of Dymphna the bandit#January 29, 2023 at 17:53
Yagyu the Grandmaster Archer is now a GrandMaster in  Meditation#January 29, 2023 at 17:36
Yagyu the Grandmaster Archer studied Discordance assiduously and raised the skill 2.3 points! #January 29, 2023 at 17:29
Murk the Grandmaster Naturalist studied Magery assiduously and raised the skill 7.8 points! #January 29, 2023 at 15:51
Oogle the Grandmaster Tailor studied Musicianship assiduously and raised the skill 0.2 points! #January 29, 2023 at 14:49
Lental the Grandmaster Driven studied Healing assiduously and raised the skill 0.0 points! #January 29, 2023 at 13:00
Lental the Grandmaster Driven studied Healing assiduously and raised the skill 1.0 points! #January 29, 2023 at 12:41
Oogle the Journeyman Sorceress studied Musicianship assiduously and raised the skill 1.6 points! #January 29, 2023 at 10:59
Sweet Velvet the Grandmaster Shepherd is now a GrandMaster in  Musicianship#January 29, 2023 at 04:00
In an unmitigated act of pure bloodlust, Deby Case the Elder Archer butchered the remains of Winona the thief#January 29, 2023 at 03:44
In an unmitigated act of pure bloodlust, Deby Case the Elder Archer butchered the remains of Oniji the assassin#January 29, 2023 at 03:43
In an unmitigated act of pure bloodlust, Deby Case the Elder Archer butchered the remains of Maxwell the thief#January 29, 2023 at 03:43
In an unmitigated act of pure bloodlust, Deby Case the Elder Archer butchered the remains of Lysnadra the assassin#January 29, 2023 at 03:28
Icegreenhemp Jr the Master Driven studied Hiding assiduously and raised the skill 2.1 points! #January 29, 2023 at 03:22
Oogle the Journeyman Sorceress studied Musicianship assiduously and raised the skill 1.2 points! #January 29, 2023 at 02:42
In an unmitigated act of pure bloodlust, Yagyu the Grandmaster Archer butchered corpse of a corrupted monk#January 29, 2023 at 02:25
Red Blade the Journeyman Skulker studied Hiding assiduously and raised the skill 5.5 points! #January 29, 2023 at 01:40
Lental the Grandmaster Driven studied Healing assiduously and raised the skill 0.3 points! #January 29, 2023 at 01:03
In an unmitigated act of pure bloodlust, Asarco the Grandmaster Archer butchered the remains of Betty the brigand#January 29, 2023 at 00:53
